N,Mint,City,Group
1,Ptolemais,Magdala,Phoenician
2,Ptolemais,Magdala,Phoenician
3,Ptolemais,Magdala,Phoenician
4,Antioch,Magdala,Hellenistic
5,Antioch,Magdala,Hellenistic
6,Ashkelon,Magdala,Hellenistic
7,Ashkelon,Magdala,Hellenistic
8,Ashkelon,Magdala,Hellenistic
9,Caesarea Maritima,Magdala,Roman
10,Caesarea Maritima,Magdala,Roman
11,Caesarea Maritima,Magdala,Roman
12,Caesarea Maritima,Magdala,Roman
13,Caesarea Maritima,Magdala,Roman
14,Gadara,Magdala,Hellenistic
15,Gadara,Magdala,Hellenistic
16,Jerusalem,Magdala,Local
17,Jerusalem,Magdala,Local
18,Jerusalem,Magdala,Local
19,Jerusalem,Magdala,Local
20,Jerusalem,Magdala,Local
21,Jerusalem,Magdala,Local
22,Jerusalem,Magdala,Local
23,Jerusalem,Magdala,Local
24,Jerusalem,Magdala,Local
25,Jerusalem,Magdala,Local
26,Jerusalem,Magdala,Local
27,Jerusalem,Magdala,Local
28,Jerusalem,Magdala,Local
29,Jerusalem,Magdala,Local
30,Jerusalem,Magdala,Local
31,Jerusalem,Magdala,Local
32,Jerusalem,Magdala,Local
33,Jerusalem,Magdala,Local
34,Jerusalem,Magdala,Local
35,Jerusalem,Magdala,Local
36,Jerusalem,Magdala,Local
37,Jerusalem,Magdala,Local
38,Jerusalem,Magdala,Local
39,Jerusalem,Magdala,Local
40,Jerusalem,Magdala,Local
41,Jerusalem,Magdala,Local
42,Jerusalem,Magdala,Local
43,Jerusalem,Magdala,Local
44,Jerusalem,Magdala,Local
45,Jerusalem,Magdala,Local
46,Jerusalem,Magdala,Local
47,Jerusalem,Magdala,Local
48,Jerusalem,Magdala,Local
49,Jerusalem,Magdala,Local
50,Jerusalem,Magdala,Local
51,Jerusalem,Magdala,Local
52,Jerusalem,Magdala,Local
53,Jerusalem,Magdala,Local
54,Jerusalem,Magdala,Local
55,Jerusalem,Magdala,Local
56,Jerusalem,Magdala,Local
57,Jerusalem,Magdala,Local
58,Jerusalem,Magdala,Local
59,Jerusalem,Magdala,Local
60,Jerusalem,Magdala,Local
61,Jerusalem,Magdala,Local
62,Jerusalem,Magdala,Local
63,Jerusalem,Magdala,Local
64,Jerusalem,Magdala,Local
65,Jerusalem,Magdala,Local
66,Jerusalem,Magdala,Local
67,Jerusalem,Magdala,Local
68,Jerusalem,Magdala,Local
69,Jerusalem,Magdala,Local
70,Jerusalem,Magdala,Local
71,Jerusalem,Magdala,Local
72,Jerusalem,Magdala,Local
73,Jerusalem,Magdala,Local
74,Jerusalem,Magdala,Local
75,Jerusalem,Magdala,Local
76,Jerusalem,Magdala,Local
77,Jerusalem,Magdala,Local
78,Jerusalem,Magdala,Local
79,Jerusalem,Magdala,Local
80,Jerusalem,Magdala,Local
81,Jerusalem,Magdala,Local
82,Jerusalem,Magdala,Local
83,Jerusalem,Magdala,Local
84,Jerusalem,Magdala,Local
85,Jerusalem,Magdala,Local
86,Jerusalem,Magdala,Local
87,Jerusalem,Magdala,Local
88,Jerusalem,Magdala,Local
89,Jerusalem,Magdala,Local
90,Jerusalem,Magdala,Local
91,Jerusalem,Magdala,Local
92,Jerusalem,Magdala,Local
93,Jerusalem,Magdala,Local
94,Jerusalem,Magdala,Local
95,Jerusalem,Magdala,Local
96,Jerusalem,Magdala,Local
97,Jerusalem,Magdala,Local
98,Jerusalem,Magdala,Local
99,Jerusalem,Magdala,Local
100,Jerusalem,Magdala,Local
101,Jerusalem,Magdala,Local
102,Jerusalem,Magdala,Local
103,Jerusalem,Magdala,Local
104,Jerusalem,Magdala,Local
105,Jerusalem,Magdala,Local
106,Jerusalem,Magdala,Local
107,Jerusalem,Magdala,Local
108,Jerusalem,Magdala,Local
109,Jerusalem,Magdala,Local
110,Jerusalem,Magdala,Local
111,Jerusalem,Magdala,Local
112,Jerusalem,Magdala,Local
113,Jerusalem,Magdala,Local
114,Jerusalem,Magdala,Local
115,Jerusalem,Magdala,Local
116,Jerusalem,Magdala,Local
117,Jerusalem,Magdala,Local
118,Jerusalem,Magdala,Local
119,Jerusalem,Magdala,Local
120,Jerusalem,Magdala,Local
121,Jerusalem,Magdala,Local
122,Jerusalem,Magdala,Local
123,Jerusalem,Magdala,Local
124,Jerusalem,Magdala,Local
125,Jerusalem,Magdala,Local
126,Jerusalem,Magdala,Local
127,Jerusalem,Magdala,Local
128,Jerusalem,Magdala,Local
129,Jerusalem,Magdala,Local
130,Jerusalem,Magdala,Local
131,Jerusalem,Magdala,Local
132,Jerusalem,Magdala,Local
133,Jerusalem,Magdala,Local
134,Jerusalem,Magdala,Local
135,Jerusalem,Magdala,Local
136,Jerusalem,Magdala,Local
137,Jerusalem,Magdala,Local
138,Jerusalem,Magdala,Local
139,Jerusalem,Magdala,Local
140,Jerusalem,Magdala,Local
141,Jerusalem,Magdala,Local
142,Jerusalem,Magdala,Local
143,Petra,Magdala,Nabatean
144,Petra,Magdala,Nabatean
145,Rome,Magdala,Roman
146,Rome,Magdala,Roman
147,Rome,Magdala,Roman
148,Rome,Magdala,Roman
149,Samaria,Magdala,Local
150,Sidon,Magdala,Phoenician
151,Tiberias,Magdala,Local
152,Tiberias,Magdala,Local
153,Tiberias,Magdala,Local
154,Tiberias,Magdala,Local
155,Tiberias,Magdala,Local
156,Tiberias,Magdala,Local
157,Tiberias,Magdala,Local
158,Tiberias,Magdala,Local
159,Tiberias,Magdala,Local
160,Tiberias,Magdala,Local
161,Tiberias,Magdala,Local
162,Tiberias,Magdala,Local
163,Tiberias,Magdala,Local
164,Tiberias,Magdala,Local
165,Tiberias,Magdala,Local
166,Tiberias,Magdala,Local
167,Tiberias,Magdala,Local
168,Tiberias,Magdala,Local
169,Tiberias,Magdala,Local
170,Tiberias,Magdala,Local
171,Tiberias,Magdala,Local
172,Tyre,Magdala,Phoenician
173,Tyre,Magdala,Phoenician
174,Tyre,Magdala,Phoenician
175,Tyre,Magdala,Phoenician
176,Tyre,Magdala,Phoenician
177,Tyre,Magdala,Phoenician
178,Tyre,Magdala,Phoenician
179,Tyre,Magdala,Phoenician
180,Tyre,Magdala,Phoenician
181,Tyre,Magdala,Phoenician
182,Tyre,Magdala,Phoenician
183,Tyre,Magdala,Phoenician
184,Tyre,Magdala,Phoenician
185,Tyre,Magdala,Phoenician
186,Tyre,Magdala,Phoenician
187,Tyre,Magdala,Phoenician
188,Tyre,Magdala,Phoenician
189,Tyre,Magdala,Phoenician
190,Tyre,Magdala,Phoenician
191,Tyre,Magdala,Phoenician
192,Tyre,Magdala,Phoenician
193,Tyre,Magdala,Phoenician
194,Tyre,Magdala,Phoenician
195,Tyre,Magdala,Phoenician
196,Tyre,Magdala,Phoenician
197,Tyre,Magdala,Phoenician
198,Tyre,Magdala,Phoenician
199,Tyre,Magdala,Phoenician
200,Uncertain,Magdala,Unknown
201,Uncertain,Magdala,Unknown
202,Uncertain,Magdala,Unknown
203,Uncertain,Magdala,Unknown
204,Uncertain,Magdala,Unknown
205,Uncertain,Magdala,Unknown
206,Uncertain,Magdala,Unknown
207,Uncertain,Magdala,Unknown
208,Uncertain,Magdala,Unknown
209,Uncertain,Magdala,Unknown
210,Uncertain,Magdala,Unknown
211,Uncertain,Magdala,Unknown
212,Uncertain,Magdala,Unknown
213,Uncertain,Magdala,Unknown
214,Uncertain,Magdala,Unknown
215,Uncertain,Magdala,Unknown
216,Uncertain,Magdala,Unknown
217,Uncertain,Magdala,Unknown
218,Uncertain,Magdala,Unknown
219,Uncertain,Magdala,Unknown
220,Uncertain,Magdala,Unknown
221,Uncertain,Magdala,Unknown
222,Uncertain,Magdala,Unknown
223,Uncertain,Magdala,Unknown
224,Uncertain,Magdala,Unknown
225,Uncertain,Magdala,Unknown
226,Uncertain,Magdala,Unknown
227,Uncertain,Magdala,Unknown
228,Uncertain,Magdala,Unknown
229,Uncertain,Magdala,Unknown
230,Uncertain,Magdala,Unknown
231,Uncertain,Magdala,Unknown
232,Uncertain,Magdala,Unknown
233,Uncertain,Magdala,Unknown
